movie_name,id,short_comment,score,comment_time,votes,Fake
一周的朋友,Mojito,和别人来看的，我复出电影院的第一场电影就这么烂吗😅,1,2022-06-18 17:49:12,23,1
唐人街探案3,日光少女大佩妮,辣鸡大烂片。。我特么大年初一浪费2小时看了个寂寞。,1,2021-02-12 22:18:15,484,1
心灵奇旅,Maurice Moss,Moss还是那个Moss,4,1/1/2021 21:55,10,1
盛夏未来,Alexander.,哎,2,2022-01-27 16:34:55,1,1
唐人街探案3,中医王二叔,不管别人，给我触动挺大，我甚至不愿去细想情节了,5,2021-02-12 20:33:22,153,1
盛夏未来,见夏,40块钱买点吃的不好吗,2,2021-07-30 18:09:15,56,1
盛夏未来,冬雪雪冬小大寒,有钱真好,2,2021-10-10 00:46:08,1,1
一周的朋友,Erin,我在电影院谁来救我,1,2022-06-18 15:22:33,97,1
一周的朋友,念,不敢相信现在是2022年……这种青春伤痛电影真的还有市场吗？尴尬得我在电影院坐立难安，如鲠在喉,1,2022-06-19 01:58:22,31,1
心灵奇旅,周沐君,喝不下这碗鸡汤啊……,3,23/1/2021 18:30,7,1
盛夏未来,顗礼,年度十佳。 ,5,2021-07-31 16:35:29,35,1
唐人街探案3,罗兰,为什么评分这么低！！对我来说，春节假期看一部搞笑、带解谜元素、代入感强、时长足够、最后上点价值，主角养眼的电影，还要什么自行车！！四颗星给电影，多一颗星昊然弟弟，小林，铃木😍😍😍和最后heal the world响起的一刻。,5,2021-02-17 13:21:49,110,1
一周的朋友,广寒宫寰山湖,陪朋友看的。下次我一定要推掉啊……,1,2022-06-18 22:48:55,3,1
花木兰,Sid洋,史上最大正版支持者受害事件。,1,2020-09-05 16:10:38,55,1
送你一朵小红花,勇子,这朵小红花  送给你,4,2020-12-31 20:14:35,254,1
盛夏未来,假装不装假,3.0。,3,2021-12-28 22:37:41,0,1
送你一朵小红花,汤米,就别三部曲了吧,3,2020-12-31 21:15:01,20,1
送你一朵小红花,海上那点白,2020/12,5,2020-12-31 20:09:51,216,1
盛夏未来,千阳瑜,今天又是小桃为人们观影审美感到担心的一天🚬,3,2021-07-30 21:44:34,3,1
花木兰,红,巩俐的表演太夺眼球了，小龙女还是很仙。感谢Disney旧事新说为我们再次提供了这么好的电影～,5,2020-09-04 22:50:31,40,1
这个杀手不太冷静,尝碗粥,魏翔加一星,4,2022-04-03 19:39:25,6,1
盛夏未来,鹏,张子枫真的丑,1,2021-07-30 11:10:35,364,1
盛夏未来,爱尔兰的天空,感谢开心嘴炮的吐槽，这一家子真糟心啊！,1,2021-08-02 19:16:46,7,1
一周的朋友,罗曼蒂克黑,女生都太好看了吧,4,2022-06-18 14:44:16,48,1
花木兰,聿千。,多了一个星给神仙姐姐！！！这电影很迪士尼童话风格了，符合我的预期，当时不能用普通电影的尺度来衡量！记住这是迪士尼童话系列就完事儿,5,2020-09-04 23:44:14,234,1
一周的朋友,Seal,还不错的,4,2022-07-04 09:02:49,0,1
一周的朋友,慕伊一,太好看了，这就是我的青春,5,2022-06-18 18:37:46,9,1
这个杀手不太冷静,miss.JC,看魏成功表演感觉像是在拆盲盒，你永远不知道他能给你带来什么惊喜,4,2022-02-01 17:13:30,9,1
唐人街探案3,從良,不知道为啥评分这么低。,5,2021-02-17 12:48:41,11,1
花木兰,Kazk,我爱刘亦菲！,5,2020-09-04 20:42:46,109,1
唐人街探案3,小陈,第一次直观感受到刘昊然的平庸,3,2021-02-14 12:33:56,105,1
一点就到家,碳烤羔羊,给年轻人造白痴梦,2,2020-10-08 00:18:17,7,1
唐人街探案3,咿gougou,陈思诚滚噢，这玩意50亿中国电影就完了,1,2021-02-14 12:38:42,284,1
这个杀手不太冷静,Hanson,开心就好，支持一下魏翔！,4,2022-02-02 17:28:16,3,1
送你一朵小红花,Curie,欠你一张电影票,5,2021-04-04 00:59:17,228,1
这个杀手不太冷静,重力泉零号土著,有被吓到，谢谢开心麻花。也谢谢万达，四张票273.4。过年就是好啊，有贺岁片可以看，谢谢国家。,2,2022-02-04 22:06:35,157,1
盛夏未来,犯怵中的嫌疑喵,巧了 我也最讨厌青春电影了（,4,2021-07-30 14:16:40,9,1
一点就到家,菲利普,脑残片,2,2020-12-05 02:56:53,2,1
一点就到家,阿朽,割韭菜宣传片，浑身不适。,1,2020-10-06 15:46:16,25,1
独行月球,奥利via,太浪费时间了…,2,2022-07-29 21:58:25,117,1
独行月球,Filmer,这踏马7分？这踏马7分？沈腾演得远超期待，笑点、泪点、视听感受都很棒，导演太能调动观众情绪了！难道是憋得太狠？反正我觉得这是近两年院线看过的最好的电影，几乎完美！,5,2022-07-31 23:22:07,73,1
一周的朋友,未来酱,给赵今麦和沈月的演技 太差了,3,2022-08-07 13:07:24,0,1
送你一朵小红花,Miaopasii,难看 气泡音我吐了,1,2021-01-01 14:27:58,132,1
一周的朋友,要芋泥要波波,比看db评论之前的感觉要好，三分给电影，一分给我田哥哥的bgm,4,2022-06-21 00:59:24,6,1
一周的朋友,RainbowIronTea,赵今麦在消耗好不容易起来的口碑啊，得好好选剧本,1,2022-06-18 12:28:51,720,1
独行月球,于成,后悔为这片付出的金钱、精力和时间。,1,2022-07-30 23:37:07,102,1
唐人街探案3,island,一群日本演员为中国新年真是操碎了心,3,2021-02-16 23:06:36,46,1
独行月球,凡人歌,果然是烂片 侮辱国人智商,1,2022-07-31 15:27:59,553,1
花木兰,苏大强,搞出这么个玩意？？？,1,2020-09-05 10:49:43,107,1
一点就到家,TiNZiNjiiM.,建議豆瓣出個3.5🌟的功能.,3,2020-10-04 18:21:08,18,1
唐人街探案3,布谷布谷,大年初一早起来看是值得的,4,2021-02-12 10:23:21,42,1
一周的朋友,Wu,不说别的 赵今麦可好看了,3,2022-10-19 21:29:27,1,1
盛夏未来,大饼粑粑,错就错在今天选择了看这个电影,1,2021-07-31 22:04:10,72,1
这个杀手不太冷静,酥麻,没有爱情多一星 不流俗,4,2022-02-06 19:17:59,9,1
一点就到家,SecretGoldfish,好无聊,2,2020-10-03 23:07:58,316,1
唐人街探案3,这是昵称,尬出天际，竟然还打算出第四季，果然中国人智商税交得少,1,2021-02-13 16:18:26,376,1
一点就到家,萨罗迈拉,如同上了花椒树——全身发麻！,2,2020-11-11 22:18:41,4,1
一周的朋友,(˘͈ᵕ ˘͈❀),🙃,2,2022-08-19 22:18:44,0,1
独行月球,爱疯青年,看着睡着系列，没有一点意思。,1,2022-07-31 18:41:42,55,1
心灵奇旅,介意,蛤？,2,4/1/2021 2:53,5,1
一周的朋友,SleepingJungle,咱就是说 我就是赵今麦的五星脑残粉！麦宝！啊啊啊啊啊啊啊啊！,5,2022-06-18 16:13:47,64,1
花木兰,NXHTO,我都要分不清这是漫威还是迪士尼世界了，为什么刘亦菲还不唱歌,2,2020-09-04 20:30:06,119,1
一点就到家,Muhy,好喜欢刘昊然彭昱畅这个电影拍得还挺好玩,5,2020-10-04 00:33:43,0,1
独行月球,待注销,没看完就跑出来了，实在受不了了，退钱！！！,1,2022-08-06 16:03:10,271,1
一点就到家,Miss Lucky,评分怎么这么低，感觉还可以啊，彭昱畅演技不错,4,2020-11-12 18:33:13,0,1
独行月球,没有猫,在我心里是个4星的商业片。但看到一堆审视者嘴脸打的恶评，我决定给5星拉高一下。你对不同类型的影片应该使用不同的评价体系，比如去大排档吃饭，那激愤吐槽它的用餐环境就很好笑了。,5,2022-08-06 23:29:14,258,1
心灵奇旅,waldeinsamkeit,好无聊啊,2,13/2/2021 14:34,0,1
唐人街探案3,陵师,"只是椅子看不下去起疙瘩了
动不动我都屁股都刺儿慌 真不是我尴尬坐不住",1,2021-02-12 11:47:42,389,1
独行月球,响响,观感和《四海》差不多。导演觉得好笑，导演觉得感动。我？瞎扯淡！退我40.9块钱，不值得看大荧幕。,2,2022-07-29 12:04:33,78,1
一周的朋友,会飞的鱼,剪成一个mv还可以吧,2,2022-08-07 12:38:14,0,1
一点就到家,乔峰,我就想知道郭杰瑞在云南搞的咖啡豆怎么样了！,3,2020-11-12 16:35:55,6,1
一周的朋友,内田有纪,男帅女美，男女主感染力很强,5,2022-06-20 07:24:48,2,1
送你一朵小红花,Wuv-wuv,千玺的演技永远能带给我惊喜“你好 韦一航”,5,2020-12-31 22:28:52,848,1
花木兰,SuperRain,别说好看，说不难看的都是刘亦菲nc粉，鉴定完毕,1,2020-09-05 12:49:08,71,1
独行月球,茉莉郡主,比流浪地球好100倍,5,2022-08-10 21:14:34,8,1
送你一朵小红花,昵称待取,很温情很治愈！哭完之后感觉能量满满了，易烊千玺的第二部电影，比第一部表演上更成熟，很多细节都处理的非常好，对少年的期待都是值得的，看之前会抱有更高的期待，相信看完电影的都会忍不住想夸！真的很棒！值得二刷,5,2020-12-31 20:45:26,130,1
盛夏未来,阿巴厮,本片最大的漏洞——不管男女，就不可能有人甩吴磊。,3,2021-08-15 00:50:15,86,1
唐人街探案3,第九代玻璃柜,懒得骂了，连带着对几个主演印象也变差，陈思诚你真不是个东西,1,2021-02-12 15:32:56,399,1
一周的朋友,莎莎姐姐,太狗血了了了了了,1,2022-06-18 13:24:21,60,1
盛夏未来,呼啦呼啦,张子枫真的是继周迅、周冬雨以后内地最有灵气的女演员。,4,2021-10-04 21:07:44,21,1
花木兰,2008nmj,刘亦菲很美，男主很帅,5,2020-09-05 00:05:02,28,1
一周的朋友,披着人皮的鬼,电影市场都这么难了 怎么这些人还有活接,1,2022-10-24 11:02:20,1,1
送你一朵小红花,一水柔蓝,温情吗,3,2020-12-31 20:00:27,56,1
一点就到家,渭川曲,没想到是双节档看的最舒服的。,4,2020-10-27 23:31:16,2,1
送你一朵小红花,米米小小,非常极其无聊的电影，浪费我钱,1,2020-12-31 23:24:17,170,1
心灵奇旅,面包干,剧情好评淡 可以说是无聊。。,3,20/1/2021 23:27,24,1
这个杀手不太冷静,德州小电锯葉子,魏翔，火吧！,3,2022-02-06 22:49:56,0,1
这个杀手不太冷静,麦克小宋,魏翔演的真好,5,2022-02-07 12:47:01,30,1
独行月球,云妮洛普,不建议6岁以上人群观看,2,2022-08-01 21:50:09,64,1
一周的朋友,瑾年,那网上吐槽的那么差啦，比同期同类强，反转是我没想到的，可以一看，主要是赵今麦太太太漂亮了，看到她的脸我都移不开眼了，林一也很帅,4,2022-06-24 00:06:04,3,1
一周的朋友,momo,我就喜欢😇😇,4,2022-06-21 10:54:56,0,1
独行月球,电锯觉罗炫,6.0/10 ,3,2022-07-28 21:52:01,3,1
这个杀手不太冷静,西楼尘,开心时可以在雨中起舞，粗暴时像荒野的镖客，我可以接受你说我演技太烂，却不能接受这一切都是假的。没有镜头的表演可以自由发挥，没有剧本的独白可以发自内心。我继续跑着龙套，扮演着被殴打的替身，把男主角当成一场旧梦。没有谁可以质疑梦的真实，它意外存在于胶片里，像一些曼妙的梦，支撑着人生。,1,2022-02-01 23:23:57,694,1
一周的朋友,momo,退！退！退！,1,2022-06-23 20:10:53,5,1
盛夏未来,一只烤全羊,“最好国产青春片之一”，嗯嗯你们也真好意思吹,2,2021-07-31 18:05:18,32,1
盛夏未来,psyche,好难看…一颗星给《拥抱》,1,2021-07-31 03:16:38,50,1
一点就到家,时柒,刘昊然皮肤好好，他好可爱，这就是我的关注点哈哈哈哈哈哈，电影中规中矩，坐在影院看笑点是够的。我认为拍这个题材的意义很好，三⭐加一⭐鼓励～,4,2021-03-18 12:53:32,0,1
盛夏未来,弄樱,居然能过审，佩服佩服,3,2021-09-08 18:45:52,3,1
心灵奇旅,g1823,get了bx同款,3,4/2/2021 17:18,0,1
独行月球,刘畅团子,就这样好好的拍个电影不行吗！？！？现在这个大环境下，我追求就这样了，好看，好笑，有梗有点，不摆烂不作妖，很好！元气满满的一天！,5,2022-07-31 20:43:54,213,1
一周的朋友,芝芝芒芒忙忙忙,合格校园青春片，多一星给赵今麦的脸，好美呜呜,4,2022-06-19 20:33:24,4,1
唐人街探案3,Viviankung,假期图一乐，不管怎样、我看的很开心！然弟弟真的是白嫩嫩！,5,2021-02-12 10:14:32,45,1
花木兰,Metapher,啊刘亦菲！！！可以了可以了 （巩皇转折突兀了一些 ,4,2020-09-04 23:54:00,101,1
这个杀手不太冷静,Hushnore,时刻未见魔幻，观众不能冷静。,2,2022-02-05 23:44:06,4,1
唐人街探案3,尘飞扬,嗯，一部长达136分钟的抖音小视频。,1,2021-02-13 13:44:08,401,1
一周的朋友,kiki204629,除了人好看之外，就木有了。,2,2022-08-07 16:54:35,0,1
花木兰,米豆,不是这评分？ 就一童话故事啊大家期望值太高了吧  这不就是纯正迪士尼内味儿 ,5,2020-09-11 23:25:21,14,1
一点就到家,虎丘真人,剧情简陋，粉丝狂吹,2,2020-10-04 10:10:21,365,1
一周的朋友,指数函数,😅,5,2022-06-18 15:22:51,3,1
送你一朵小红花,天予,低配版《星运里的错》,3,2021-01-04 10:05:20,7,1
这个杀手不太冷静,Dobby,魏翔满分,5,2022-02-20 16:35:02,0,1
送你一朵小红花,琴殇丶韵染,……,1,2021-01-02 08:36:14,58,1
这个杀手不太冷静,一实,魏翔成功了！,3,2022-02-01 19:55:05,6,1
一点就到家,倔强的少女心,看别人评语，居然还有很多高大上的分析，这片不就两个字评语吗？,1,2020-11-13 23:54:16,6,1
心灵奇旅,智术师,平庸之作，无甚可观。,2,4/1/2021 2:46,5,1
一周的朋友,老苞米,为了麦麦，男主起开,3,2022-08-28 05:55:43,0,1
独行月球,令狐婷婷,rnm 退钱,1,2022-08-01 04:38:23,233,1
盛夏未来,Pam,张子枫全方面越来越好了呢。,2,2021-07-30 11:18:27,44,1
一周的朋友,37cocoa,口红都太红啦,3,2022-10-30 21:32:20,0,1
一点就到家,Brig,很难不让人觉得是双十一前的大型广告。,3,2020-10-05 11:57:31,7,1
这个杀手不太冷静,懂棒棒宇宙,知道是翻拍《魔幻时刻》后，调低了一星,2,2022-02-01 19:40:41,18,1
唐人街探案3,.捉摸不透姑娘.,从此wink就是油腻的代言词了,3,2021-02-16 01:30:30,29,1
花木兰,Timor,五分给迪斯尼，五分给刘亦菲，一分给剧情,5,2020-09-04 23:34:29,8,1
一点就到家,文丑,我....太尬了,1,2020-10-05 23:09:35,8,1
一点就到家,小汉堡,一大碗鸡汤,3,2020-11-09 00:21:57,2,1
一周的朋友,排骨开天地,两颗星给麦麦，两颗星给原作。,4,2022-09-06 22:49:19,1,1
花木兰,一个男的,真的难看到无敌爆炸！什么烂剧情！莫名其妙的？当大家弱智呢？？,1,2020-09-05 12:46:30,77,1
这个杀手不太冷静,KenC,.....,1,2022-04-01 18:07:53,1,1
送你一朵小红花,撷云,看完少年的你的确会怀疑易烊千玺的演技是否是偶然，看完这部小红花不得不承认他的演技是真的灵。,5,2020-12-31 20:55:02,117,1
一周的朋友,米了个喵,打扰了…不如看综艺 多好的林一和麦麦,1,2022-08-07 16:42:56,1,1
盛夏未来,米需米米兹,什么东西😥诈骗,1,2021-07-30 21:37:53,31,1
花木兰,再见二丁目,一星都觉得高了,1,2020-09-05 09:38:37,74,1
心灵奇旅,英俊的兔酱🍖,我只想看个2d，国内何必执着于非排3d不可？连晴雅集都不玩3d了，强行3d有意思？不是中国观众水平不行，而是利益操纵实在恶心,3,26/12/2020 13:46,4,1
心灵奇旅,我还是我,X,2,24/6/2021 21:41,0,1
花木兰,空阶滴到明,烂就一个字。。。,1,2020-09-05 11:08:39,67,1
心灵奇旅,爱多一点,心里鸡汤，，给孩子看的吧。。。,2,2/1/2021 6:22,0,1
唐人街探案3,拾光先生,这么无聊尴尬的电影也能这么高票房 ，只能说中国的观众 审美太低价了 ！,2,2021-02-12 13:07:39,171,1
独行月球,黄金体验,听说首日破3亿，好像票房很高的样子。我刚看完，只能说：该！,5,2022-07-29 22:10:29,119,1
送你一朵小红花,Ting,被拉去看的 真一羊千洗,1,2021-01-01 09:53:08,151,1
唐人街探案3,汤三少2012,我就知道他营销到第一天十亿票房就是烂,1,2021-02-12 10:44:32,181,1
一周的朋友,不知道为什么,林一很好看啊！赵今麦很好看啊！,4,2022-06-20 12:57:55,2,1
心灵奇旅,石狩川,惟江上之清风，与山间之明月，耳得之而为声，目遇之而成色。取之无禁，用之不竭。是造物者之无尽藏也，而吾与子之所共适。,5,26/12/2020 12:55,4890,1
盛夏未来,岚卷苍穹,（7.0/10）,3,2021-07-30 19:59:01,4,1
心灵奇旅,公子猫,这故事是不是拿来给技术练手的,3,25/12/2020 22:27,2,1
心灵奇旅,小叶榄仁,"为什么能发offer的校长、能调换灵魂的舵手是白人？为什么能改变别人命运的都是白人？为什么能当基金经理的是白人？理发的做衣服的都是黑人？理发做衣服也是黑人文化优越性吗？为什么黑人终于摸到梦想后要觉得「梦想也不过如此、还不如看看树叶」？奥巴马也是黑人。又怎么样呢。

“想起那天在话梅 你说yaoyao审美很好，我说有什么用呢，确实很长一段时间会觉得活着没有什么太大的用处感到不好意思。今天看完这个电影，好像对为什么活着这个老套的问题有了一个温柔的答案。”
“我从小喜欢看世界的各种颜色以及光能照到的地方的形状，会让我容易出神。哇，今天看这个电影里那个负面灵魂22号最后在人间的样子，觉得简直就是我自己。”
能来地球一趟，真好。",1,4/1/2021 13:58,5,1
一周的朋友,浓浓,因为麦宝特意买了首映的票晚上去看的 一边看一边和朋友讨论剧情 真的很不错 我们一致认为比上次看的暗恋橘生淮南好看一万倍！！！,4,2022-06-18 23:20:18,4,1
一周的朋友,胡萝卜好吃🥕,林一跟沈月看起来更有cp感，赵今麦总觉得呆呆的,3,2022-06-18 23:41:31,10,1
一点就到家,X-523,3.5,3,2021-02-12 20:44:20,0,1
送你一朵小红花,magoo,韩延你退步了。。。,1,2020-12-31 21:58:59,483,1
一点就到家,momo(瘦版）,好像阿里巴巴的宣传片一样,3,2020-10-04 10:46:51,17,1
花木兰,毛豆大侠,我朋友说特别垃圾，她特别气，让我来打分,1,2020-09-05 09:11:03,68,1
唐人街探案3,看到我请让我好,坐的我屁股都疼了,2,2021-02-12 10:37:38,720,1
一周的朋友,名字要很可爱,除了赵今麦，找不到其他的亮点了,3,2022-08-07 16:20:51,0,1
唐人街探案3,magoo,强行搞笑，烂梗堆砌，恶心-_-||,1,2021-02-12 13:43:08,353,1
一周的朋友,53,就还行吧,4,2022-06-18 12:49:41,6,1
独行月球,带刀侍卫在此,非常好看   不套路    沈叔叔的表演也特别有层次。但这部电影的评论区没眼看，装逼的人太多了😬,5,2022-08-13 21:41:28,50,1
花木兰,彼得堡觅食胖鸽,"虽然剧情bug,但是又能怎样！！",5,2020-09-05 06:10:52,10,1
送你一朵小红花,逗猫草,太难看了，四字好好练习台词吧，简直是灾难，毫无演技,1,2021-01-01 08:08:50,173,1
一点就到家,新新新裤子,可能是因为见了很多黑马论，导致期待过高，看完了不禁想这马也太容易黑了吧。。。彭彭演技吊打,2,2020-10-04 13:46:37,103,1
送你一朵小红花,豆友212709950,温暖跨年,5,2020-12-31 22:20:04,141,1
心灵奇旅,观澜湖小当家,赶紧多排片，把郭小四这种鸡贼劣币赶出去。这才是好片！,5,25/12/2020 17:15,131,1
盛夏未来,坍塌,3星给吴磊了,3,2021-10-04 15:38:20,1,1
这个杀手不太冷静,玲娜贝尔尔,真的有够无聊,1,2022-02-08 22:33:40,41,1
唐人街探案3,剑者心之刃也,对不住票钱。真真的一部不如一部。真是一坨屎也敢上春节档圈钱。,1,2021-02-12 11:44:07,157,1
这个杀手不太冷静,豆友,咱就是说魏翔这么宝藏的演员不火完全没道理啊,5,2022-02-01 23:35:10,157,1
盛夏未来,薛定谔的脑子,没必要的情节,1,2021-07-30 18:08:14,56,1
唐人街探案3,且放白鹿青崖间,受不了豆瓣的网友了，一个个为了显得自己多么高，开始打低分。nt,5,2021-02-13 16:56:47,115,1
盛夏未来,五加皮,两人身份对调会好很多，张子枫明显更适合演同志。,3,2021-07-30 22:17:41,13,1
一周的朋友,LYOOYL,两星给林一,2,2022-08-17 07:50:40,0,1
花木兰,疯了吧,迪士尼疯了吧，这部是不是迪士尼成本最低，成片最烂的迪士尼电影？？？？？故事、特效、装发、建筑，全部都好烂,1,2020-09-05 01:31:34,80,1
一周的朋友,积蓄好运小螂君,辜负期待 也辜负赵今麦和沈月的美貌,2,2022-10-20 23:42:02,0,1
盛夏未来,马掰掰,今年最好的青春片了！,5,2021-08-04 23:48:50,21,1
送你一朵小红花,豆友227152065,我等屁民怎配看天龙太子作品,1,2022-07-09 22:49:17,123,1
一周的朋友,阿宋,这么多年了，国产青春电影为啥一直没进步？,1,2022-06-18 15:41:02,38,1
独行月球,馬峯,疫情当下这样的喜剧作品倒也让人很难有恶评之心,5,2022-07-29 20:13:46,172,1
送你一朵小红花,海里有盐,在电影院如坐针毡。,1,2021-01-01 08:47:18,136,1
盛夏未来,禾口角刀牛,13/2021 做梦都想拥有张子枫这样的女儿！！！吴磊最后的DJ造型好帅！！！,5,2021-07-29 21:41:03,343,1
送你一朵小红花,墨非墨宝,抵制丑四,1,2021-01-01 08:42:47,254,1
唐人街探案3,陆冠均,知道你赚钱，可是基本功别丢啊…………,3,2021-02-12 13:24:08,17,1
这个杀手不太冷静,电锯觉罗炫,6.8/10 ,4,2022-02-04 15:55:07,2,1
一周的朋友,鯨,赵今麦真的可以！！！,3,2022-08-07 21:54:06,0,1
一点就到家,菲氏葉猴,隔離酒店看的，還不錯～,3,2022-10-14 20:47:41,0,1
盛夏未来,sorrynotsorry,突然感觉张子枫很像柯佳嬿诶（相貌和表演方式）,3,2021-07-31 13:15:25,4,1
花木兰,Momoisland,拍的啥啊？？,2,2020-09-05 00:32:56,53,1
唐人街探案3,fairy,确实没有前两季好看，推理有点牵强（我是没被感动到）但总体还行，不至于5.8分，不至于不至于,4,2021-02-14 22:19:28,54,1
一周的朋友,与身,先看的暗恋橘生淮南，再看的这个。相比之下，起码像个正常高中。,4,2022-06-30 01:59:05,0,1
心灵奇旅,烟挞听敏,挺无聊的。。,2,10/5/2021 8:43,0,1
送你一朵小红花,微信用户,为小镇做题家,1,2022-07-09 14:19:10,148,1
盛夏未来,Frances,呵呵呵呵？一星半,2,2021-07-30 21:21:04,16,1
盛夏未来,LarryWho,#这是在干什么#,1,2021-08-03 00:04:37,12,1
唐人街探案3,思考的肚腩,很好看啊，不懂为啥才5.8,5,2021-02-14 22:24:57,79,1
一点就到家,沙拉酱,有点烂,1,2020-11-08 23:55:39,7,1
这个杀手不太冷静,夏天结束了吗,春节档唯一的一部喜剧片哦，太适合带着父母和小孩一起去看咯！,4,2022-02-01 16:20:17,119,1
唐人街探案3,笑语耳,不懂一群打低分的逻辑，本片至少4星，多给一星是为了对抗那么多打低分的！这至少是一部优良的商业大作！,5,2021-02-16 20:21:08,92,1
送你一朵小红花,艾莉的冷笑话,烂,1,2021-01-01 07:56:08,267,1
一点就到家,血浆爱好者,太无趣了，这年头还有人鸡汤这么咣咣咣地往那儿灌呢。,2,2021-02-17 00:38:58,4,1
这个杀手不太冷静,Allen Jimson ,大翔大翔，宇宙最强。情理之中，意料之外。,5,2022-02-01 21:23:17,33,1
唐人街探案3,梦回谢桥,豆瓣水军猖狂啊，评分被打到6.0以下，有点太扯了，要不是提前买好票就被你们骗了，故事完整，情节有趣，应打4星，故意五星好评。 ,5,2021-02-14 19:47:52,1,1
一周的朋友,筱蓦入星河,今天刚看过，真的特别喜欢，好好看的一部电影，真心推荐！,5,2022-06-18 17:51:25,16,1
心灵奇旅,Laputa,内核比较老套，鸡汤说教味太浓,3,2/1/2021 19:58,11,1
这个杀手不太冷静,yuan,不是豆瓣文青会买单的那种好笑，别看了。,2,2022-02-01 14:41:28,104,1
唐人街探案3,静·生活每天都充满阳光,实话讲，唐探3，在电影院看，一点都不亏！唐探宇宙值得给他们贡献米！,5,2021-02-12 16:43:39,82,1
一点就到家,Ber_雪碧,补标 7,3,2022-07-09 19:06:30,0,1
一周的朋友,秋棠染纱漠北凉,烂片,1,2022-08-09 01:13:38,0,1
这个杀手不太冷静,Muto,Too Cool To Kill——Will you join us？Karl：Only Fools Rush In. 一个陷入死亡恐惧之中的「替身」演员套用「口手」卡尔的勇气和幽默感完成了他对死亡无情的蔑视和嘲讽。同时，也完成了这位「表演」艺术家对「电影」艺术的亵渎。在人生这场貌似没有摄影机却处处暗藏着摄影机的幻梦里，人与人之间「平等」的关系被「资本原则」塑造换成了「明星+导演+影迷」三人行关系——看过《亡命驾驶》的观众，或许知道「死亡与爱情与电影」三者之间的「同构」关系。而与同样采取「真作假时假亦真」这种拍摄方式的「真人」秀《再见爱人》不同，眼下《这个杀手不太冷静》剧组去了假的《伯格曼岛》现场拍「旧爱重逢」戏。被「金钱」绑架「有点摆不清自己位置」的男主化了个妆——加入了「江湖」这个家族。,1,2022-02-03 13:05:57,18,1
一点就到家,ninej950,大型阿里巴巴软广！男主们很优秀！,3,2020-10-04 23:21:34,6,1
